S.No,Compound,A,B,In literature,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
1,Ac2O3,Ac,Ac,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,12","1,1","1,1",0,0,"-3,248","0,707106781",-,"0,8"
2,AcAgO3,Ac,Ag,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,95","1,1","1,93",0,"2,488353231","-2,565071429","0,758259187",-,"0,678571429"
3,AcAlO3,Ac,Al,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,54","1,1","1,61",0,"1,892894405","-1,846714286","0,918509839",-,"0,385714286"
4,AcAsO3,Ac,As,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,52","1,1","2,18",0,"1,932227032","-1,577428571","0,92807765",-,"0,371428571"
5,AcAuO3,Ac,Au,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,93","1,1","2,54",0,"2,31369847","-2,279785714","0,764767849",-,"0,664285714"
6,AcBO3,Ac,B,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,27","1,1","2,04",0,"1,624661665","-1,117357143","1,06701143",-,"0,192857143"
7,AcBaO3,Ac,Ba,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,35","1,1","0,89",0,"2,64009357","-3,806785714","0,647966941",-,"0,964285714"
8,AcBeO3,Ac,Be,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,45","1,1","1,57",0,"1,803349248","-1,676928571","0,963194102",-,"0,321428571"
9,AcBiO3,Ac,Bi,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,9","1,1","2,02",0,"2,215655462","-2,425857143","0,774743082",-,"0,642857143"
10,AcCaO3,Ac,Ca,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12",1,"1,1",1,0,"2,318139449","-3,040285714","0,74246212",-,"0,714285714"
11,AcCdO3,Ac,Cd,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,95","1,1","1,69",0,"2,286435201","-2,661071429","0,758259187",-,"0,678571429"
12,AcCeO3,Ac,Ce,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,94","1,1","1,12",0,"2,268642439","-2,868428571","0,761499611",-,"0,671428571"
13,AcCoO3,Ac,Co,FALSE,rhombohedral,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","1,88",0,"1,930310969","-1,9245","0,877787728",-,"0,45"
14,AcCrO3,Ac,Cr,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,58","1,1","1,66",0,"1,960053288","-1,909285714","0,899954085",-,"0,414285714"
15,AcCsO3,Ac,Cs,FALSE,tetragonal,element not in BV,element not in BV,"1,12","1,12","1,67","1,1","0,79",0,"3,009747218","-4,507357143","0,580426413",-,"1,192857143"
16,AcCuO3,Ac,Cu,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,68","1,1","1,9",0,"2,005573846","-2,019714286","0,856687062",-,"0,485714286"
17,AcDyO3,Ac,Dy,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,99","1,1","1,22",0,"2,255580699","-2,931642857","0,745568656",-,"0,707142857"
18,AcErO3,Ac,Er,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,89","1,1","1,24",0,"2,250676638","-2,717214286","0,77812624",-,"0,635714286"
19,AcEuO3,Ac,Eu,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,06","1,1","1,2",0,"2,354367494","-3,084142857","0,724353288",-,"0,757142857"
20,AcFeO3,Ac,Fe,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,67","1,1","1,83",0,"1,999521816","-2,027071429","0,860825647",-,"0,478571429"
21,AcGaO3,Ac,Ga,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","1,81",0,"1,974643898","-1,931857143","0,882133212",-,"0,442857143"
22,AcGdO3,Ac,Gd,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,94","1,1","1,2",0,"2,28415608","-2,836428571","0,761499611",-,"0,671428571"
23,AcGeO3,Ac,Ge,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","2,01",0,"1,899964183","-1,8725","0,877787728",-,"0,45"
24,AcHfO3,Ac,Hf,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,71","1,1","1,3",0,"2,027412322","-2,321642857","0,844506677",-,"0,507142857"
25,AcHgO3,Ac,Hg,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,11","1,1",2,0,"2,323654714","-2,867357143","0,70992394",-,"0,792857143"
26,AcHoO3,Ac,Ho,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,9","1,1","1,23",0,"2,25865608","-2,741857143","0,774743082",-,"0,642857143"
27,AcInO3,Ac,In,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,8","1,1","1,78",0,"2,147680955","-2,315428571","0,809958677",-,"0,571428571"
28,AcIrO3,Ac,Ir,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","2,2",0,"2,009082787","-1,7965","0,877787728",-,"0,45"
29,AcKO3,Ac,K,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,38","1,1","0,82",0,"2,723507129","-3,896714286","0,640974492",-,"0,985714286"
30,AcLaO3,Ac,La,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,03","1,1","1,1",0,"2,376509378","-3,062214286","0,733295921",-,"0,735714286"
31,AcLiO3,Ac,Li,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,76","1,1","0,98",0,"2,095547886","-2,552857143","0,824957911",-,"0,542857143"
32,AcLuO3,Ac,Lu,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,86","1,1","1,27",0,"2,209114963","-2,643285714","0,788455349",-,"0,614285714"
33,AcMgO3,Ac,Mg,FALSE,rhombohedral,element not in BV,element not in BV,"1,12","1,12","0,72","1,1","1,31",0,"2,046489492","-2,338285714","0,840523155",-,"0,514285714"
34,AcMnO3,Ac,Mn,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","1,55",0,"2,16999357","-2,035857143","0,882133212",-,"0,442857143"
35,AcMoO3,Ac,Mo,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","2,16",0,"1,7893","-1,791857143","0,882133212",-,"0,442857143"
36,AcNaO3,Ac,Na,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,02","1,1","0,93",0,"2,425828064","-3,109571429","0,73632607",-,"0,728571429"
37,AcNbO3,Ac,Nb,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,68","1,1","1,6",0,"1,955055241","-2,139714286","0,856687062",-,"0,485714286"
38,AcNdO3,Ac,Nd,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,98","1,1","1,14",0,"2,320966993","-2,943","0,748701298",-,"0,7"
39,AcNiO3,Ac,Ni,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,59","1,1","1,91",0,"2,103725488","-1,829928571","0,895431703",-,"0,421428571"
40,AcNpO3,Ac,Np,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,86","1,1","1,36",0,0,"-2,607285714","0,788455349",-,"0,614285714"
41,AcOsO3,Ac,Os,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,57","1,1","2,2",0,"1,954921624","-1,672642857","0,90452238",-,"0,407142857"
42,AcPaO3,Ac,Pa,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,91","1,1","1,5",0,0,"-2,6545","0,771389216",-,"0,65"
43,AcPbO3,Ac,Pb,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,99","1,1","2,33",0,"2,362863567","-2,487642857","0,745568656",-,"0,707142857"
44,AcPdO3,Ac,Pd,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,75","1,1","2,2",0,"2,04250519","-2,044214286","0,828794925",-,"0,535714286"
45,AcPmO3,Ac,Pm,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,97","1,1","1,13",0,0,"-2,926357143","0,751860375",-,"0,692857143"
46,AcPrO3,Ac,Pr,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,92","1,1","1,13",0,"2,340791612","-2,823142857","0,768064262",-,"0,657142857"
47,AcPtO3,Ac,Pt,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,67","1,1","2,28",0,"2,64390067","-1,847071429","0,860825647",-,"0,478571429"
48,AcPuO3,Ac,Pu,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,83","1,1","1,28",0,"2,226583834","-2,577357143","0,799062372",-,"0,592857143"
49,AcRbO3,Ac,Rb,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,52","1,1","0,82",0,"2,825996661","-4,185714286","0,610242839",-,"1,085714286"
50,AcReO3,Ac,Re,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,57","1,1","1,9",0,"1,98797081","-1,792642857","0,90452238",-,"0,407142857"
51,AcRhO3,Ac,Rh,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,61","1,1","2,28",0,"2,001424352","-1,723214286","0,886521935",-,"0,435714286"
52,AcRuO3,Ac,Ru,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,62","1,1","2,2",0,"2,018753288","-1,775857143","0,882133212",-,"0,442857143"
53,AcSbO3,Ac,Sb,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,68","1,1","2,05",0,"2,075848892","-1,959714286","0,856687062",-,"0,485714286"
54,AcScO3,Ac,Sc,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,75","1,1","1,36",0,"2,074614707","-2,380214286","0,828794925",-,"0,535714286"
55,AcSiO3,Ac,Si,FALSE,tetragonal,element not in BV,element not in BV,"1,12","1,12","0,4","1,1","1,9",0,"1,783360927","-1,441714286","0,989949494",-,"0,285714286"
56,AcSmO3,Ac,Sm,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,96","1,1","1,17",0,"2,311832729","-2,889714286","0,755046224",-,"0,685714286"
57,AcSnO3,Ac,Sn,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,69","1,1","1,96",0,"2,052287148","-2,016357143","0,852588081",-,"0,492857143"
58,AcSrO3,Ac,Sr,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","1,18","1,1","0,95",0,"2,452968591","-3,431857143","0,690662437",-,"0,842857143"
59,AcTaO3,Ac,Ta,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,68","1,1","1,5",0,"1,956808277","-2,179714286","0,856687062",-,"0,485714286"
60,AcTbO3,Ac,Tb,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,84","1,1","1,2",0,"2,256932729","-2,63","0,795495129",-,"0,6"
61,AcTcO3,Ac,Tc,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,6","1,1","1,9",0,0,"-1,854571429","0,890954544",-,"0,428571429"
62,AcTeO3,Ac,Te,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,77","1,1","2,1",0,"2,115491508","-2,1255","0,821156262",-,"0,55"
63,AcThO3,Ac,Th,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,94","1,1","1,3",0,"2,246056043","-2,796428571","0,761499611",-,"0,671428571"
64,AcTiO3,Ac,Ti,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,71","1,1","1,54",0,"1,927848949","-2,225642857","0,844506677",-,"0,507142857"
65,AcTlO3,Ac,Tl,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","1,2","1,1","1,62",0,"2,297683747","-3,205142857","0,685349649",-,"0,857142857"
66,AcTmO3,Ac,Tm,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,96","1,1","1,25",0,"2,119700811","-2,857714286","0,755046224",-,"0,685714286"
67,AcUO3,Ac,U,FALSE,cubic,element not in BV,element not in BV,"1,12","1,12","0,85","1,1","1,38",0,"2,0478","-2,578642857","0,791959595",-,"0,607142857"
68,AcVO3,Ac,V,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,64","1,1","1,63",0,"1,758039163","-2,045142857","0,873484847",-,"0,457142857"
69,AcWO3,Ac,W,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,63","1,1","2,36",0,"1,7456","-1,7325","0,877787728",-,"0,45"
70,AcYO3,Ac,Y,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,9","1,1","1,22",0,"2,235124352","-2,745857143","0,774743082",-,"0,642857143"
71,AcYbO3,Ac,Yb,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,95","1,1","1,1",0,"2,223980699","-2,897071429","0,758259187",-,"0,678571429"
72,AcZnO3,Ac,Zn,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,74","1,1","1,65",0,"2,096140752","-2,243571429","0,832667798",-,"0,528571429"
73,AcZrO3,Ac,Zr,FALSE,orthorhombic,element not in BV,element not in BV,"1,12","1,12","0,72","1,1","1,33",0,"2,043777903","-2,330285714","0,840523155",-,"0,514285714"
74,AgAcO3,Ag,Ac,FALSE,orthorhombic,element not in BV,element not in BV,"1,28","0,95","1,12","1,93","1,1","2,76145322",0,"-3,049714286","0,75200245",-,"0,8"
75,Ag2O3,Ag,Ag,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,95","1,93","1,93","2,76145322","2,488353231","-2,36975","0,806402627",-,"0,678571429"
76,AgAlO3,Ag,Al,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,54","1,93","1,61","2,76145322","1,892894405","-1,791214286","0,976827925",-,"0,385714286"
77,AgAsO3,Ag,As,FALSE,tetragonal,1,5,"1,28","0,95","0,46","1,93","2,18","2,76145322","1,932227032","-1,389214286","1,018842029","4,762492298","0,328571429"
78,AgAuO3,Ag,Au,FALSE,cubic,element not in BV,element not in BV,"1,28","0,95","0,93","1,93","2,54","2,76145322","2,31369847","-2,055535714","0,813324538",-,"0,664285714"
79,AgBO3,Ag,B,FALSE,cubic,3,3,"0,75","0,95","0,27","1,93","2,04","2,76145322","1,624661665","-0,852321429","0,910347054","4,341915139","0,192857143"
80,AgBaO3,Ag,Ba,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","1,35","1,93","0,89","2,76145322","2,64009357","-3,552321429","0,689107699",-,"0,964285714"
81,AgBeO3,Ag,Be,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,45","1,93","1,57","2,76145322","1,803349248","-1,650392857","1,024349283",-,"0,321428571"
82,AgBiO3,Ag,Bi,FALSE,rhombohedral,1,5,"1,28","0,95","0,76","1,93","2,02","2,76145322","2,215655462","-1,992714286","0,877336191","4,072913752","0,542857143"
83,AgCaO3,Ag,Ca,FALSE,rhombohedral,not balanced,not balanced,"1,28","0,95",1,"1,93",1,"2,76145322","2,318139449","-2,883285714","0,789602572",-,"0,714285714"
84,AgCdO3,Ag,Cd,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,95","1,93","1,69","2,76145322","2,286435201","-2,479464286","0,806402627",-,"0,678571429"
85,AgCeO3,Ag,Ce,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,94","1,93","1,12","2,76145322","2,268642439","-2,722357143","0,809848792",-,"0,671428571"
86,AgCoO3,Ag,Co,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,63","1,93","1,88","2,76145322","1,930310969","-1,826892857","0,933520283",-,"0,45"
87,AgCrO3,Ag,Cr,FALSE,orthorhombic,1,5,"1,28","0,95","0,49","1,93","1,66","2,76145322","1,960053288","-1,679964286","1,002669933","4,577636281","0,35"
88,AgCsO3,Ag,Cs,FALSE,cubic,not balanced,not balanced,"1,28","0,95","1,67","1,93","0,79","2,76145322","3,009747218","-4,16375","0,617278884",-,"1,192857143"
89,AgCuO3,Ag,Cu,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,68","1,93","1,9","2,76145322","2,005573846","-1,906142857","0,911079891",-,"0,485714286"
90,AgDyO3,Ag,Dy,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,99","1,93","1,22","2,76145322","2,255580699","-2,765035714","0,792906349",-,"0,707142857"
91,AgErO3,Ag,Er,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,89","1,93","1,24","2,76145322","2,250676638","-2,579107143","0,82753108",-,"0,635714286"
92,AgEuO3,Ag,Eu,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","1,06","1,93","1,2","2,76145322","2,354367494","-2,897928571","0,770343973",-,"0,757142857"
93,AgFeO3,Ag,Fe,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,67","1,93","1,83","2,76145322","1,999521816","-1,920464286","0,915481243",-,"0,478571429"
94,AgGaO3,Ag,Ga,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,62","1,93","1,81","2,76145322","1,974643898","-1,841214286","0,93814167",-,"0,442857143"
95,AgGdO3,Ag,Gd,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,94","1,93","1,2","2,76145322","2,28415608","-2,685785714","0,809848792",-,"0,671428571"
96,AgGeO3,Ag,Ge,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,63","1,93","2,01","2,76145322","1,899964183","-1,767464286","0,933520283",-,"0,45"
97,AgHfO3,Ag,Hf,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,71","1,93","1,3","2,76145322","2,027412322","-2,233464286","0,898126149",-,"0,507142857"
98,AgHgO3,Ag,Hg,FALSE,cubic,not balanced,not balanced,"1,28","0,95","1,11","1,93",2,"2,76145322","2,323654714","-2,620607143","0,754998476",-,"0,792857143"
99,AgHoO3,Ag,Ho,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,9","1,93","1,23","2,76145322","2,25865608","-2,601357143","0,823933119",-,"0,642857143"
100,AgInO3,Ag,In,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,8","1,93","1,78","2,76145322","2,147680955","-2,173142857","0,861384624",-,"0,571428571"
101,AgIrO3,Ag,Ir,FALSE,rhombohedral,1,5,"1,28","0,95","0,57","1,93","2,2","2,76145322","2,009082787","-1,574535714","0,961952372","4,232002327","0,407142857"
102,AgKO3,Ag,K,FALSE,cubic,not balanced,not balanced,"1,28","0,95","1,38","1,93","0,82","2,76145322","2,723507129","-3,637357143","0,681671285",-,"0,985714286"
103,AgLaO3,Ag,La,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","1,03","1,93","1,1","2,76145322","2,376509378","-2,890607143","0,779854392",-,"0,735714286"
104,AgLiO3,Ag,Li,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,76","1,93","0,98","2,76145322","2,095547886","-2,468142857","0,877336191",-,"0,542857143"
105,AgLuO3,Ag,Lu,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,86","1,93","1,27","2,76145322","2,209114963","-2,512357143","0,838516006",-,"0,614285714"
106,AgMgO3,Ag,Mg,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,72","1,93","1,31","2,76145322","2,046489492","-2,246571429","0,893889705",-,"0,514285714"
107,AgMnO3,Ag,Mn,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,62","1,93","1,55","2,76145322","2,16999357","-1,960071429","0,93814167",-,"0,442857143"
108,AgMoO3,Ag,Mo,FALSE,cubic,1,5,"1,28","0,95","0,61","1,93","2,16","2,76145322","1,7893","-1,663535714","0,942809042","4,126280155","0,435714286"
109,AgNaO3,Ag,Na,FALSE,cubic,not balanced,not balanced,"1,28","0,95","1,02","1,93","0,93","2,76145322","2,425828064","-2,950642857","0,783076931",-,"0,728571429"
110,AgNbO3,Ag,Nb,TRUE,rhombohedral,1,5,"1,28","0,95","0,64","1,93","1,6","2,76145322","1,955055241","-1,972571429","0,928944203","4,072890082","0,457142857"
111,AgNdO3,Ag,Nd,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,98","1,93","1,14","2,76145322","2,320966993","-2,783928571","0,796237888",-,"0,7"
112,AgNiO3,Ag,Ni,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,59","1,93","1,91","2,76145322","2,103725488","-1,742464286","0,952284509",-,"0,421428571"
113,AgNpO3,Ag,Np,FALSE,orthorhombic,element not in BV,element not in BV,"1,28","0,95","0,86","1,93","1,36","2,76145322",0,"-2,471214286","0,838516006",-,"0,614285714"
114,AgOsO3,Ag,Os,FALSE,rhombohedral,element not in BV,element not in BV,"1,28","0,95","0,57","1,93","2,2","2,76145322","1,954921624","-1,574535714","0,961952372",-,"0,407142857"
115,AgPaO3,Ag,Pa,FALSE,rhombohedral,element not in BV,element not in BV,"1,28","0,95","0,91","1,93","1,5","2,76145322",0,"-2,495607143","0,820366309",-,"0,65"
116,AgPbO3,Ag,Pb,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,99","1,93","2,33","2,76145322","2,362863567","-2,257607143","0,792906349",-,"0,707142857"
117,AgPdO3,Ag,Pd,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,75","1,93","2,2","2,76145322","2,04250519","-1,89275","0,881416825",-,"0,535714286"
118,AgPmO3,Ag,Pm,FALSE,cubic,element not in BV,element not in BV,"1,28","0,95","0,97","1,93","1,13","2,76145322",0,"-2,770821429","0,799597542",-,"0,692857143"
119,AgPrO3,Ag,Pr,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,92","1,93","1,13","2,76145322","2,340791612","-2,682428571","0,816830247",-,"0,657142857"
120,AgPtO3,Ag,Pt,FALSE,orthorhombic,element not in BV,element not in BV,"1,28","0,95","0,67","1,93","2,28","2,76145322","2,64390067","-1,71475","0,915481243",-,"0,478571429"
121,AgPuO3,Ag,Pu,FALSE,orthorhombic,element not in BV,element not in BV,"1,28","0,95","0,83","1,93","1,28","2,76145322","2,226583834","-2,45475","0,84979649",-,"0,592857143"
122,AgRbO3,Ag,Rb,FALSE,cubic,not balanced,not balanced,"1,28","0,95","1,52","1,93","0,82","2,76145322","2,825996661","-3,884857143","0,648988416",-,"1,085714286"
123,AgReO3,Ag,Re,FALSE,cubic,1,5,"1,28","0,95","0,58","1,93","1,9","2,76145322","1,98797081","-1,729357143","0,957094027","4,201731568","0,414285714"
124,AgRhO3,Ag,Rh,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,61","1,93","2,28","2,76145322","2,001424352","-1,608678571","0,942809042",-,"0,435714286"
125,AgRuO3,Ag,Ru,FALSE,rhombohedral,1,5,"1,28","0,95","0,57","1,93","2,2","2,76145322","2,018753288","-1,574535714","0,961952372","4,232002327","0,407142857"
126,AgSbO3,Ag,Sb,TRUE,orthorhombic,1,5,"1,28","0,95","0,6","1,93","2,05","2,76145322","2,075848892","-1,696142857","0,947523087","4,148924717","0,428571429"
127,AgScO3,Ag,Sc,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,75","1,93","1,36","2,76145322","2,074614707","-2,27675","0,881416825",-,"0,535714286"
128,AgSiO3,Ag,Si,FALSE,tetragonal,not balanced,not balanced,"1,28","0,95","0,4","1,93","1,9","2,76145322","1,783360927","-1,411142857","1,05280343",-,"0,285714286"
129,AgSmO3,Ag,Sm,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,96","1,93","1,17","2,76145322","2,311832729","-2,734857143","0,802985667",-,"0,685714286"
130,AgSnO3,Ag,Sn,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,69","1,93","1,96","2,76145322","2,052287148","-1,896392857","0,906720657",-,"0,492857143"
131,AgSrO3,Ag,Sr,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","1,18","1,93","0,95","2,76145322","2,452968591","-3,224357143","0,734514021",-,"0,842857143"
132,AgTaO3,Ag,Ta,TRUE,rhombohedral,1,5,"1,28","0,95","0,64","1,93","1,5","2,76145322","1,956808277","-2,018285714","0,928944203","4,072890082","0,457142857"
133,AgTbO3,Ag,Tb,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,84","1,93","1,2","2,76145322","2,256932729","-2,509","0,846002756",-,"0,6"
134,AgTcO3,Ag,Tc,FALSE,rhombohedral,element not in BV,element not in BV,"1,28","0,95","0,6","1,93","1,9","2,76145322",0,"-1,764714286","0,947523087",-,"0,428571429"
135,AgTeO3,Ag,Te,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,77","1,93","2,1","2,76145322","2,115491508","-1,973821429","0,873293168",-,"0,55"
136,AgThO3,Ag,Th,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,94","1,93","1,3","2,76145322","2,246056043","-2,640071429","0,809848792",-,"0,671428571"
137,AgTiO3,Ag,Ti,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,71","1,93","1,54","2,76145322","1,927848949","-2,12375","0,898126149",-,"0,507142857"
138,AgTlO3,Ag,Tl,FALSE,cubic,not balanced,not balanced,"1,28","0,95","1,2","1,93","1,62","2,76145322","2,297683747","-2,953428571","0,728863913",-,"0,857142857"
139,AgTmO3,Ag,Tm,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,96","1,93","1,25","2,76145322","2,119700811","-2,698285714","0,802985667",-,"0,685714286"
140,AgUO3,Ag,U,FALSE,rhombohedral,1,5,"1,28","0,95","0,76","1,93","1,38","2,76145322","2,0478","-2,285285714","0,877336191","4,072913752","0,542857143"
141,AgVO3,Ag,V,TRUE,tetragonal,1,5,"1,28","0,95","0,54","1,93","1,63","2,76145322","1,758039163","-1,782071429","0,976827925","4,339108738","0,385714286"
142,AgWO3,Ag,W,FALSE,cubic,1,5,"1,28","0,95","0,62","1,93","2,36","2,76145322","1,7456","-1,589785714","0,93814167","4,106081989","0,442857143"
143,AgYO3,Ag,Y,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,9","1,93","1,22","2,76145322","2,235124352","-2,605928571","0,823933119",-,"0,642857143"
144,AgYbO3,Ag,Yb,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,95","1,93","1,1","2,76145322","2,223980699","-2,749178571","0,806402627",-,"0,678571429"
145,AgZnO3,Ag,Zn,FALSE,cubic,not balanced,not balanced,"1,28","0,95","0,74","1,93","1,65","2,76145322","2,096140752","-2,1265","0,885535595",-,"0,528571429"
146,AgZrO3,Ag,Zr,FALSE,orthorhombic,not balanced,not balanced,"1,28","0,95","0,72","1,93","1,33","2,76145322","2,043777903","-2,237428571","0,893889705",-,"0,514285714"
147,AlAcO3,Al,Ac,FALSE,orthorhombic,element not in BV,element not in BV,"0,54","0,54","1,12","1,61","1,1","2,186788809",0,"-2,559285714","0,544359982",-,"0,8"
148,AlAgO3,Al,Ag,FALSE,orthorhombic,3,3,"0,54","0,54","0,75","1,61","1,93","2,186788809","2,488353231","-1,702821429","0,638040537","-13,70859439","0,535714286"
149,Al2O3,Al,Al,FALSE,cubic,3,3,"0,54","0,54","0,54","1,61","1,61","2,186788809","1,892894405","-1,369285714","0,707106781",-,"0,385714286"
150,AlAsO3,Al,As,FALSE,cubic,3,3,"0,54","0,54","0,58","1,61","2,18","2,186788809","1,932227032","-1,334642857","0,692821796","-45,6730239","0,414285714"
151,AlAuO3,Al,Au,FALSE,cubic,element not in BV,element not in BV,"0,54","0,54","0,93","1,61","2,54","2,186788809","2,31369847","-1,923964286","0,588749852",-,"0,664285714"
